file_name,original_size,compressed_size,compression_ratio,latency_ms,is_large_file,bug_triggered,checksum_ok,failed
small_text_6.txt,50000,37890,0.7578,2337.071,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2420.319,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2490.447,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,2638.455,1,0,1,0
stupid3.txt,27,27,1.0,2314.542,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,2563.78,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,2531.766,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,2539.802,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,2787.678,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2348.936,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2449.437,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2471.135,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2387.483,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2451.817,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2560.483,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2706.31,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2846.523,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2331.235,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2328.697,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2330.296,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2333.416,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2337.782,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2308.958,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2333.867,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2340.425,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2322.925,0,0,1,0
small_text_4.txt,30000,22740,0.758,2321.562,0,0,1,0
small_text_5.txt,40000,30320,0.758,2334.306,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2338.044,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2402.159,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2512.682,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,2654.082,1,0,1,0
stupid3.txt,27,27,1.0,2355.736,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,2584.367,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,2531.23,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,2535.901,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,2791.738,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2367.44,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2474.159,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2447.015,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2465.738,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2366.67,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2413.847,1,0,1,0
large_3.bin,20000000,20006123,1.00030615,2396.074,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2580.596,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2564.124,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2695.624,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2708.442,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2820.8,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2367.202,0,0,1,0
large_6.bin,100000000,100030523,1.00030523,2875.986,1,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2345.044,0,0,1,0
